,Mean,Std_deviation,bias
0_1_25293_60025,1.0940741463785524,0.14446596365462658,0.24324811626329798
0_1_25293_60027,1.0897841233393648,0.13731969656430276,0.8973827582692184
0_1_25293_60039,1.0829951069003563,0.1365973005995864,0.9871366811243417
0_1_28000_58454,1.295553512961651,0.32798459350721393,0.35698222079450354
0_1_49900_27268,1.058206047544479,0.0995209450833922,0.3539103127719814
0_2_25293_60037,1.0894970617553366,0.1302800692484887,-0.21469396728142365
0_2_28000_24610,1.1035314791494688,0.13514916709854655,0.45846719134110236
7_1_42365_22800,1.0166828136893329,0.039171030673768974,0.01111368436300969
7_1_42365_22820,1.0174918485883369,0.0399564908153405,0.828506834875235
7_1_42365_22840,1.0174955308606382,0.04039216900341116,0.6442009545118427
7_1_42365_26400,1.0634157222579015,0.08774992337693922,0.5237979598696415
7_1_42365_26410,1.06115699334752,0.08696577894610645,0.28466257230054015
7_1_42365_26420,1.061788794195621,0.08818859150632864,0.37303972767202465
7_1_42365_26440,1.0622155787667589,0.08877012421869077,-0.7356185915738538
88_6_99998_59442,1.0477986440517126,0.08838032187458107,1.9747832077576206
88_6_99998_59443,1.0682773550600408,0.09247598829239666,0.4236496456340163
88_6_99998_59444,1.0431431278804317,0.06338413464245587,0.6778337483115368
88_6_99998_59461,1.1074994650477359,0.09863139034778973,0.4050972659300656
88_6_99998_59486,1.089163024296343,0.08352028820319798,0.6011521932719617
88_6_99998_59492,1.0674311197763067,0.11835378952620912,1.0025453145512118
88_6_99998_59494,1.0587620787478762,0.08971668357367785,0.7701495747865785
88_6_99998_59504,1.0562907398272465,0.08962761663663026,0.5371900553941555
88_6_99998_59509,1.066218233073816,0.08258054715903557,0.03578790413970696
88_6_99998_59518,1.0675006190249434,0.11838440149144352,0.964146259169943
88_6_99998_59519,1.054757626010707,0.07340050045681924,0.21362147638717754
88_6_99998_59520,1.0512817395242735,0.0752738676170923,0.3717905537369726
88_6_99998_59525,1.101162082081637,0.10804390912030575,1.0846361341301276
88_6_99998_59546,1.0874524299515393,0.14517519822329547,0.9278087712314881
88_6_99998_59547,1.0612463455559258,0.09636060731184058,0.3826982325941637
88_6_99998_59548,1.0605314636065704,0.0785429568005488,0.35894732438130805
88_6_99998_59549,1.0778642796267965,0.08035680784457709,0.23917724223344766
88_6_99998_59597,1.2755080082993542,0.29100047579789673,-0.2572812743526409
88_6_99998_59601,1.0945558988632367,0.11646004824589323,0.2771246343599016
88_6_99998_59649,1.0386423253035295,0.09735946562429586,0.7148079123188704
88_6_99998_59651,1.0117941007698152,0.04540261308023588,1.174647539273954
88_6_99998_59689,1.2875630625760575,0.2967759457146619,-1.0582646865376
